"CMCII_Institution","Sector","SERVICE","CII_Name","CII_Type","Description","Location","Dependencies (Upstream/Downstream Asset)","Ownership (Public, Private, Hybrid)","Custodian","Geolocation Parameters","Status (A/C/R)","Impact Users Affected (0-4)","Economic Impact (1-4)","Recovery Time (1-4)","Availability of Alternatives (1-4)","Cross-sector Dependencies (1-4)","Score","Tier"
"Gam Petroleum (GP)","Power, Energy and Water","Petroleum Supply","Server OS","Software Systems","For central Adminstration of system","Mandinari Depot","Power, Liences,Servers","GamPetroleum","GamPetroleum - IT","9C8C+8P5, Mandinari","Active","4","4","4","4","4","20","Tier-3"
"Gamcel","Information and Communications","Customer Services","power equipment","Hardware and Computing Infrastructure","Provide power to servers","Abuko complex","","Private","Gamtel/Gamcel","Abuko complex","Active","4","3","1","4","4","16","Tier-3"
"Gamcel","Information and Communications","Customer Services","cooling system","Hardware and Computing Infrastructure","Provide cooling to servers","Abuko complex","","Private","Gamtel/Gamcel","Abuko complex","Active","4","3","1","4","4","16","Tier-3"
"AFRICEL","Information and Communications","Data Services","PCRFs","Software Systems","Policy & Charging Rules","Africell HQ","Mobile Data","Africell","Africell Team","F839+H6X","Active","3","3","4","2","3","15","Tier-3"
"The Gambia Pharmacy Council (GPC)","Health and Well‐Being","Pharmacy Licensing & Registration","Pharmacist and personnel registration records","Data","For registration of new Pharmacy personnel","PCG Secretariat","1. Laptops
2. Degree certificates and attestation
3. Verification confirmation of completion from institution
4. Bank Deposit Slip
5. National Identification of registrant
6. Internet","Public (PCG)","PCG","98F4+63Q","Active","4","4","3","3","4","18","Tier-3"
"AFRICEL","Information and Communications","Data Services","Databases","Data","Databases","Africell HQ","Mobile Data","Africell","Africell Team","F839+H6X","Active","3","3","4","2","3","15","Tier-3"
"The Gambia Pharmacy Council (GPC)","Health and Well‐Being","Pharmacy Licensing & Registration","Pharmacy Licensing registration data","Data","For issuing of Pharmacy Premises License","PCG Secretariat","1. Laptops
2. Business Registration
3. PCG Practice Certificate of registrant
4. Bank Deposit Slip","Public (PCG)","PCG","98F4+63Q","Active","4","4","3","3","4","18","Tier-3"
"Gamcel","Information and Communications","Customer Services","operators","Human","Handle complaints and queries","Abuko complex","","Private","Gamtel/Gamcel","Abuk complex","Active","4","3","1","4","4","16","Tier-3"
"The Gambia Pharmacy Council (GPC)","Health and Well‐Being","Pharmacy Licensing & Registration","Records Storage","Data","Secure archive filing cabinets for hard copy licensing applications","PCG Secretariat","Secure Storage, Filing Cabinets","Public (PCG)","PCG Admin/Reception","98F4+63Q","Active","3","3","3","3","3","15","Tier-3"
"The Gambia Pharmacy Council (GPC)","Health and Well‐Being","Pharmacy Licensing & Registration","Office space for inspectors at PCG Secretariat","Facilities","Office Space","PCG Secretariat
","","Amadou Manneh","PCG","98F4+63Q","Active","4","4","4","4","4","20","Tier-3"
"AFRICEL","Information and Communications","Data Services","DPIs","Networks and Communication","Packet Inspection","Africell HQ","Mobile Data","Africell","Africell Team","F839+H6X","Active","4","3","4","2","3","16","Tier-3"
"Gam Petroleum (GP)","Power, Energy and Water","Petroleum Supply","VM Ware","Software Systems","VM Machine","Mandinari Depot","Power, Liences,Laptop\Desktop","GamPetroleum","GamPetroleum - IT","9C8C+8P5, Mandinari","Active","4","4","4","3","3","18","Tier-3"
"The Gambia Pharmacy Council (GPC)","Health and Well‐Being","Pharmacy Licensing & Registration","Payment records","Data","To verify payments of registrations and licenses","PCG Secretariat","1. Receipt Books
2. Bank Deposit Slips
3. Laptop
4. Internet
5. Quick Books","Public (PCG)","PCG","98F4+63Q","Active","4","4","3","3","2","16","Tier-3"
"AFRICEL","Information and Communications","Data Services","UGW","Networks and Communication","Users Gateway","Africell HQ","Mobile Data","Africell","Africell Team","F839+H6X","Active","4","3","4","2","3","16","Tier-3"
"AFRICEL","Information and Communications","Data Services","MME","Networks and Communication","Users Mobility","Africell HQ","Mobile Data","Africell","Africell Team","F839+H6X","Active","4","3","4","2","3","16","Tier-3"
"Gam Petroleum (GP)","Power, Energy and Water","Price stabilization support","Stock Monitoring System","Data","Stock Card","Mandinari Depot","Software Liences,Laptop\Desktop","GamPetroleum","GamPetroleum - IT","9C8C+8P5, Mandinari","Active","4","4","4","3","3","18","Tier-3"
"Gamcel","Information and Communications","Customer Services","SQL server","Software Systems","Store admin and user details","Abuko complex","","Private","Gamtel/Gamcel","Abuk complex","Active","4","3","1","4","4","16","Tier-3"
"The Gambia Pharmacy Council (GPC)","Health and Well‐Being","Pharmacy Inspections & Compliance Monitoring","Closure Forms","Data","Used by inspectors for closing of:
1. Illegal premises operating pharmacy
2. Licensed premises not following PCG Regulations and Standards","PCG Secretariat
","1. PCG ACT
2. PCG Regulations
3. PCG Standards of Practice
4. Inspectorate Filed Report","PCG","PCG","98F4+63Q","Active","4","4","2","2","4","16","Tier-3"
"Gamcel","Information and Communications","Customer Services","Nixxes contact suite","Software Systems","Platform installed in the app server","Abuko complex","","Private","Gamtel/Gamcel","Abuko complex","Active","4","3","1","4","4","16","Tier-3"
"Ministry of Fishery and Water Resources (MoFWR )","Power, Energy and Water","Promotion of Community Fisheries Centres, fishers’ cooperatives & associations","Community Fisheries Centres","Facilities","Physical centers supporting 
local fishers’ associations, 
processing, 
training, and 
cooperative management.","Banjul and
Landing site across
The Gambia","Fisheries policy frameworks 
Livelihood support, 
market development","Public","MoFWR 
Community Fisheries","Landing site across
The Gambia","Active","4","4","3","2","3","16","Tier-3"
"The Gambia Pharmacy Council (GPC)","Health and Well‐Being","Pharmacy Inspections & Compliance Monitoring","Inspection Routine Checklists (Forms)","Data","Used by inspectors to assess compliance of pharmacy premises with regulatory standards, including licensing and feedbacks","PCG Secretariat
","1. Inspection operation plan
2. Regulatory guidelines","PCG","PCG","98F4+63Q","Active","4","4","2","2","4","16","Tier-3"
"Gam Petroleum (GP)","Power, Energy and Water","Petroleum Supply","Veam Backup","Software Systems","For system Backup","Mandinari Depot","Liences,Servers","GamPetroleum","GamPetroleum - IT","9C8C+8P5, Mandinari","Active","4","4","3","4","4","19","Tier-3"
"Gamcel","Information and Communications","Customer Services","NAS server","Hardware and Computing Infrastructure","Network storage server","Abuko complex","","Private","Gamtel/Gamcel","Abuk complex","Active","4","3","1","4","4","16","Tier-3"
"Gamcel","Information and Communications","Customer Services","WAN","Hardware and Computing Infrastructure","Internet access","Abuko complex","","Private","Gamtel/Gamcel","Abuk complex","Active","4","3","1","4","4","16","Tier-3"
"Central Bank of The Gambia (CBG)","Banking and Finance","Monetary policy implementation","Regulatory and Compliance system","Hardware and Computing Infrastructure","Regularoty and compliance supervision system","CBG Datacenter","-Power
- Core Network infrastructure
-LAN
-VPN 
-WAN
- cooling
-Service Provider,
-laptop/desktop","CBG","ICTD, BSD","FC3G+9Q, Banjul","Active","3","4","2","3","3","15","Tier-3"
"Central Bank of The Gambia (CBG)","Banking and Finance","Monetary policy implementation","Monetary Policy and Financial Stability Data","Data","economic, financial, and policy-related datasets","Local file server, sharepoint","-Power
- Core Network infrastructure
-Internet
-laptop/desktop","cCBG","ERD","FC3G+9Q, Banjul","Active","4","4","2","2","4","16","Tier-3"
"Central Bank of The Gambia (CBG)","Banking and Finance","Monetary policy implementation","CBG Core Network Infrastructure Core","Networks and Communication","Integrated network infrastructure connecting payment system components, branches, DR site, users.","CBG HQ, CBG DR Site, Supervision house","Upstream: Power , internet, VPN, cooling
Downstream: Core Banking, RTGS, ACH, SWIFT, users, external stakeholders","Hybrid (CBG + Service provider)","ICTD","FC3G+9Q, Banjul","Active","4","4","4","4","4","20","Tier-3"
"Gambia ICT Agency (GICTA)","Information and Communications","E-government services implement","MYSQL DB","Data","For Database","GICTA Office","System, License, power, Internet","GICTA","GICTA","97XR+6C7","Active","4","3","3","2","3","15","Tier-3"
"Gambia ICT Agency (GICTA)","Information and Communications","E-government services implement","Fortigate Firewall","Hardware and Computing Infrastructure","Network Security tool","GICTA Office","Power supply, cooling, cables and network interface","GICTA","GICTA","97XR+6C14","Active","4","3","2","2","4","15","Tier-3"
"APS","Banking and Finance","Commercial banking services","Premises Power Backup","Hardware and Computing Infrastructure","Provides power to keep all computer devises operational","Various branch locations in The Gambia","Desktops/Laptops, network switches, Firewalls, LAN, Air Conditioner","APS IMF","APS IMF","Various branch locations in The Gambia","Active","3","3","4","2","3","15","Tier-3"
"Gambia Radio and Television Services (GRTS) ","Information and Communications","Entertainment (incl. Religious Programming).","Entertainment (incl. Religious Programming).","Data","entertainment and religious programs","production unit","workstation/synology nas","PRIVATE","","F86C+8Q9, Serrekunda","Active","4","2","4","2","3","15","Tier-3"
"APS","Banking and Finance","Commercial banking services","Administrators","Human","Serve as system engineers","APS Bijilo","Users, Desktops/Laptops, LAN, Network switches, Firewalls, Oracle Cloud Infrastructure, Webserver, Application Server, Relational Database Management System","APS IMF","APSIMF","APS Bijilo","Active","3","3","4","2","3","15","Tier-3"
"Gambia National Petroleum Company (GNPC) ","Power, Energy and Water","Retail Services","Gas Stations","Facilities","To enable the retail business","Country Wide","Power, Tanks, Pumps/ General Public","GNPC","GNPC","C75C+4F3, Bijilo","Active","4","4","4","4","4","20","Tier-3"
"Gambia National Petroleum Company (GNPC) ","Power, Energy and Water","Retail Services","MySQL (MEF)","Data","Data of the My Easy Fuel App","Cloud/AWS","Power,Internet/My Easy Fuel","Hybrid","GNPC","C75C+4F3, Bijilo","Active","3","3","3","4","4","17","Tier-3"
"APS","Banking and Finance","Commercial banking services","Relational Database Management System","Data","Stores and failicates data inputs, processing and retrieval","Oracle cloud","Web server, Applications servers, Core Banking Application Module","ORACLE","ORACLE","Oracle cloud","Active","3","3","4","4","3","17","Tier-3"
